popularity,budget,title,cast,director,keywords,genres,companies,score
0.168985,0,Command Performance,Dolph Lundgren|Melissa Molinaro|Hristo Shopov|Dave Legeno|Zahary Baharov,Dolph Lundgren,,Action|Drama|Thriller,Nu Image Films|Millennium Films|Cat Burglar Productions,4.0
0.236277,0,Futurama: Into the Wild Green Yonder,Billy West|Katey Sagal|John DiMaggio|Lauren Tom|Phil LaMarr,Peter Avanzino,megaphone|feminism|future|wormhole|alien life-form,Animation|Comedy,20th Century Fox Television,7.1
0.166774,0,Gabriel Iglesias: I'm Not Fat... I'm Fluffy,Gabriel Iglesias,Manny Rodriguez,,Comedy,Comedy Central,6.9
0.165343,12000000,The King of Fighters,Sean Faris|Maggie Q|Ray Park|Will Yun Lee|David Leitch,Gordon Chan,nurse|prophecy|cia|undercover|mass murder,Action|Thriller|Science Fiction,Micott & Basara K.K.|Inferno International|Convergence Entertainment|KOF Film Productions|Scion Films,4.6
0.165257,0,Mystery Team,Donald Glover|Aubrey Plaza|Dominic Dierkes|D.C. Pierson|Matt Walsh,Dan Eckman,detective|cocaine|male friendship|strip club|costume,Comedy|Thriller|Mystery,Derrick Comedy Productions|Offhollywood Digital,7.0
0.164377,5000,The Hunt for Gollum,Adrian Webster|Patrick O'Connor|Arin Alldridge|Rita Ramnani|Gareth Brough,Chris Bouchard,middle-earth (tolkien)|the lord of the rings,Action|Adventure|Fantasy,,5.9
0.159638,1500000,Beautiful,Deborra-Lee Furness|Peta Wilson|Aaron Jeffery|Asher Keddie|Erik Thomson,Dean O'Flaherty,suspense,Drama|Mystery|Thriller,Kojo Pictures,4.4
0.159615,0,Blood Creek,Dominic Purcell|Henry Cavill|Michael Fassbender|Emma Booth|Rainer WinkelvoÃŸ,Joel Schumacher,west virginia|revenge|rifle|occult,Horror|Thriller,Gold Circle Films,5.4
0.158652,7500000,Ace Ventura Jr: Pet Detective,Josh Flitter|Emma Lockhart|Art LaFleur|Reed Alexander|William Haze,David M. Evans,,Comedy|Family,,3.4
0.158638,0,Sorority Wars,Lucy Hale|Courtney Thorne-Smith|Amanda Schull|Phoebe Strole|Kristen Hager,James Hayman,college|sorority|rivalry|young adult,Comedy|Drama|Family|TV Movie,Von Zerneck Sertner Films|RHI Entertainment|Patricia Clifford Productions,6.0
0.157549,0,Uncertainty,Joseph Gordon-Levitt|Lynn Collins|Assumpta Serna|Nelson Landrieu|Manoel Felciano,Scott McGehee|David Siegel,independent film,Drama|Thriller|Romance,,5.5
0.23818,0,Night Train,Danny Glover|Steve Zahn|Leelee Sobieski|Matthias SchweighÃ¶fer|Togo Igawa,Brian King,,Thriller|Action|Crime,A-Mark Entertainment|Instinctive Film|FilmTiger,5.3
0.15559,0,Infestation,Chris Marquette|Diane Gaeta|Brooke Nevin|Jim Cody Williams|Linda Park,Kyle Rankin,,Action|Comedy|Horror|Science Fiction,Icon Productions|Heavy Duty Entertainment,5.8
0.155519,0,Next Day Air,Donald Faison|Mike Epps|Wood Harris|Omari Hardwick|Mos Def,Benny Boom,duringcreditsstinger,Action|Comedy|Crime,Melee Entertainment|Next Day Air Productions|Secret Society Films,5.0
0.154563,3200000,The Good Guy,Alexis Bledel|Colin Egglesfield|Anna Chlumsky|Andrew McCarthy|Scott Porter,Julio DePietro,independent film,Comedy|Romance,Belladonna Productions|Whitest Pouring Films,5.6
0.328199,0,The Canyon,Will Patton|Eion Bailey|Yvonne Strahovski|Wendy Worthington|Christopher Sweeney,Richard Harrah,suspense|independent film,Thriller,Pierce-Williams Entertainment|Zero Gravity Management,5.9
0.149553,0,Goal! III: Taking On The World,Kuno Becker|Leo Gregory|J. J. Feild,Andrew Morahan,,Drama,,3.5
0.145905,58000000,Did You Hear About The Morgans?,Hugh Grant|Sarah Jessica Parker|Mary Steenburgen|Sam Elliott|Natalia Klimas,Marc Lawrence,witness protection|comedy|duringcreditsstinger,Comedy,Columbia Pictures|Castle Rock Entertainment|Relativity Media|Banter,5.0
0.145388,0,Garfield's Pet Force,Frank Welker,Mark A.Z. DippÃ©,cartoon|surrealism|dog|garfield,Animation|Comedy|Family,,6.9
0.145081,5000000,The Grudge 3,Johanna Braddy|Gil McKinney|Emi Ikehata|Jadie-Rose Hobson|Beau Mirchoff,Toby Wilkins,brother sister relationship|broken neck|curse|stabbing|gothic,Horror|Thriller,Ghost House Pictures|Ozla Pictures|Stage 6 Films,5.4
0.248508,0,The Shortcut,Drew Seeley|Shannon Woodward|Dave Franco|Katrina Bowden|Raymond J. Barry,Nicholaus Goossen,suspense,Horror|Thriller,Happy Madison Productions|Minds Eye Entertainment,4.6
0.143953,0,Doctor Who: Planet of the Dead,David Tennant|Michelle Ryan|Lee Evans|Noma Dumezweni|Adam James,James Strong,wormhole|sand,Family|Science Fiction|TV Movie|Adventure|Drama,BBC Home Video,7.3
0.142609,0,Kevin Hart: I'm a Grown Little Man,Kevin Hart,Shannon Hartman,live performance|spoof|live audience|stand up comedian,Comedy,,7.6
0.141098,0,Coco,Gad Elmaleh|Pascale Arbillot|Manu Payet|Jean Benguigui|Ary Abittan,Gad Elmaleh,,Comedy,LÃ©gende Films,4.4
0.137731,0,Le Vilain,Albert Dupontel|Catherine Frot|Bouli Lanners|Nicolas MariÃ©|Bernard Farcy,Albert Dupontel,,Comedy,France 2 CinÃ©ma|StudioCanal|ADCB Films|Euro MÃ©dia TÃ©lÃ©vision,5.7
0.137656,0,Make the Yuletide Gay,Adamo Ruggiero|Keith Jordan|Hallee Hirsh|Kelly Keaton|Derek Long,Rob Williams,holiday|gay|coming out|gay romance|gay teenager,Drama|Comedy|Romance,TLA Releasing|Great House Films,6.0
0.135641,0,To Save A Life,Randy Wayne|Deja Kreutzberg|Joshua Weigel|Steven Crowder|Kim Hidalgo,Brian Baugh,christian|independent film,Drama,,5.6
0.057316,0,Le Coach,Jean-Paul Rouve|Richard Berry|Anne Marivin|MÃ©lanie Bernier|Didier Bezace,Olivier Doran,,Comedy,Mars Distribution,5.7
0.13313,0,Good Hair,Maya Angelou|Chris Rock|Nia Long|Vanessa Bell Calloway|Ice-T,Jeff Stilson,,Comedy|Documentary,,7.0
0.132841,0,Ink,Chris Kelly|Jessica Duffy|Quinn Hunchar|Jeremy Make|Jennifer Batter,Jamin Winans,,Action|Fantasy,Double Edge Films,6.6
0.190628,3500000,Hit and Run,Laura Breckenridge|Kevin Corrigan|Christopher Shand|Joe Hansard,Enda McCallion,suspense,Drama|Thriller,Thats Hollywood|Maverick Films|Metro-Goldwyn-Mayer (MGM)|Ithaka Entertainment,4.1
0.128532,3500000,Trailer Park Boys: Countdown to Liquor Day,John Paul Tremblay|Robb Wells|Mike Smith|John Dunsworth|Lucy Decoutere,Mike Clattenburg,nudity|white trash|jack daniels|marijuana,Comedy|Crime,Topsail Entertainment|Trailer Park Productions,6.2
0.126448,0,Amore 14,Veronica Olivier|Beatrice Flammini|Flavia Roberto|Raniero Monaco Di Lapio|Giuseppe Maggio,Federico Moccia,love|moccia,Comedy,,3.8
0.125174,0,Weather Girl,Tricia O'Kelley|Patrick J. Adams|Ryan Devlin|Mark Harmon|Kaitlin Olson,Blayne Weaver,independent film,Action|Comedy|Mystery|Romance|Thriller,,5.2
0.123497,0,Paintball,Peter Vives|Claudia Bassols|Neil Maskell|Patrick Regis|Brendan Mackey,Daniel Benmayor,,Action|Foreign|Horror|Thriller,Castelao Producciones,3.7
0.123044,0,The Messengers 2: The Scarecrow,Erbi Ago|Darcy Fowers|Kalina Green|Michael McCoy|Norman Reedus,Martin Barnewitz,prequel|child driving tractor|hit by a truck|killer scarecrow,Horror,Ghost House Pictures,5.1
0.038585,0,Lightbulb,Dallas Roberts|Jeremy Renner|Ayelet Zurer|Marguerite Moreau|Amanda Anka,Jeff Balsmeyer,,Comedy|Drama|Romance,Pacific Productions,5.5
0.12035,0,Spectacular!,Nolan Gerard Funk|Jesse Moss|Britt Irvin|Tammin Sursok|Harris Allan,Robert Iscove,,Drama|Music,,5.2
0.222882,9000000,Against the Dark,Steven Seagal|Linden Ashby|Jenna Harrison|Danny Midwinter|Emma Catherwood,Richard Crudo,underground|vampire|zombies,Horror|Action|Thriller|Science Fiction,Castel Film Romania|Steamroller Productions,3.5
0.11886,108,Stan Helsing,Diora Baird|Leslie Nielsen|Steve Howey|Kenan Thompson|Tara Wilson,Bo Zenga,halloween|slapstick|duringcreditsstinger,Comedy|Horror,Insight Productions,4.1
0.256703,0,The Diary of Anne Frank,Ellie Kendrick|Kate Ashfield|Geoff Breton|Felicity Jones|Iain Glen,,diary|anne frank|jewish|girl|nazi occupation,Drama,Darlow Smithson Productions|British Broadcasting Corporation (BBC),7.5
0.114458,250000,Big Fan,Patton Oswalt|Kevin Corrigan|Michael Rapaport|Marcia Jean Kurtz|Serafina Fiore,Robert D. Siegel,gun|loser|sport|beating|diner,Comedy|Drama,Big Fan Productions,5.7
0.114327,0,Italians,Carlo Verdone|Sergio Castellitto|Riccardo Scamarcio|Kseniya Rappoport,Giovanni Veronesi,ferrari|desert,Comedy,Filmauro,4.9
0.112717,0,Best Worst Movie,Michael Stephenson|George Hardy|Darren Ewing|Jason Steadman|Jason Wright,Michael Stephenson,,Documentary|Comedy,,7.6
0.060334,0,Sweet Karma,Shera Bechard|John Tokatlidis|Frank J. Zupancic|Christian Bako|Laura McLean,Andrew Thomas Hunt	,female nudity|underwear|strip club|mute,Action|Thriller,,4.7
0.246935,0,The Marc Pease Experience,Ben Stiller|Anna Kendrick|Jason Schwartzman|Jay Paulson|Cullen Moss,Todd Louiso,,Comedy,Paramount Vantage,4.5
0.109178,0,I Can Do Bad All By Myself,Tyler Perry|Taraji P. Henson|Adam RodrÃ­guez|Mary J. Blige|Gladys Knight,Tyler Perry,aunt|duringcreditsstinger,Drama|Comedy,Lions Gate Films,6.1
0.108905,0,Heartless,Jim Sturgess|Noel Clarke|Eddie Marsan|Luke Treadaway|Timothy Spall,Philip Ridley,gangster boss|birthmark|pact with the devil,Drama|Horror|Thriller,Matador Pictures|Isle of Man Film|CrossDay Productions|CinemaNX|May 13 Films,6.1
0.108083,0,2081,James Cosmo|Julie Hagerty|Armie Hammer|Patricia Clarkson|Tammy Bruce,Chandler Tuttle,dystopia,Action|Science Fiction|Thriller,,6.6
0.107537,0,Cairo Time,Patricia Clarkson|Alexander Siddig|Elena Anaya|Amina Annabi|Tom McCamus,Ruba Nadda,independent film|woman director,Drama|Romance,TÃ©lÃ©film Canada|The Harold Greenberg Fund|Astral Media|Movie Central Network|Foundry Films,5.7
0.109128,0,Hatching Pete,Jason Dolley|Mitchel Musso|Tiffany Thornton|Josie Loren,Stuart Gillard,,Comedy|Family,,5.1
0.128661,0,The Age of Stupid,Pete Postlethwaite,Franny Armstrong,post-apocalyptic|global warming|woman director,War|Documentary|History,,6.0
0.103773,0,Iron Maiden: Flight 666,Bruce Dickinson|Steve Harris|Nicko McBrain|Dave Murray|Adrian Smith,Sam Dunn|Scot McFadyen,tour|heavy metal|live concert|loud music,Documentary|Music,Banger Films,8.3
0.102223,0,Life,David Attenborough|Oprah Winfrey,Martha Holmes|Simon Blakeney|Stephen Lyle,plants|animal species|biology|wildlife|ecology,Documentary,British Broadcasting Corporation (BBC),7.0
0.166371,25000000,Mao's Last Dancer,Chi Cao|Chengwu Guo|Wen Bin Huang|Joan Chen|Bruce Greenwood,Bruce Beresford,costume|song|village|promise|ballet,Drama|Romance,Great Scott Productions Pty. Ltd.,6.7
0.323342,0,Laid to Rest,Bobbi Sue Luther|Kevin Gage|Lena Headey|Sean Whalen|Richard Lynch,Robert Hall,psychopathic killer|metal skull mask|slaughter,Thriller|Horror,Dry County Films,5.2
0.097705,0,Vertige,Fanny Valette|Johan LibÃ©reau|Maud Wyler|Nicolas Giraud|Justin Blanckaert,Abel Ferry,stalking|mountain climbing|elimination derby|blockage,Action|Thriller|Horror,Gaumont|Sombrero Films|Studio Mad,5.5
0.097127,0,The Slammin' Salmon,Michael Clarke Duncan|Jay Chandrasekhar|Kevin Heffernan|Steve Lemme|Erik Stolhanske,Kevin Heffernan,independent film|duringcreditsstinger,Comedy,Broken Lizard Industries,6.0
0.148198,0,Loose Change 9/11: An American Coup,Daniel Sunjata,Dylan Avery,conspiracy theory,Documentary,Collective Minds Media Company|Microcinema International|Morningstar Entertainment|Brown & Stretic|The Frankfurt Group,6.0
0.092519,31192,Down Terrace,Robert Hill|Robin Hill|Julia Deakin|David Schaal|Tony Way,Ben Wheatley,murder|dark comedy|crime family,Drama|Action|Comedy,,6.5
0.091395,3250000,Paa,Amitabh Bachchan|Abhishek Bachchan|Vidya Balan|Paresh Rawal|Arundathi Nag,,,Drama|Family|Foreign,A B Corp,6.1
0.091154,0,A Very Potter Musical,Darren Criss|Joey Richter|Bonnie Gruesen|Lauren Lopez|Joseph Walker,Matt Lang,musical,Music|Comedy,Starkid Productions,6.9
0.090552,0,Paranormal Entity,Fia Perera|Erin Marie Hogan|Shane Van Dyke|Norman Saleet,Shane Van Dyke,paranormal|fake documentary|demonic possession|based on a supposedly true story|no ending credits,Horror|Mystery|Thriller,The Asylum,4.6
0.210628,0,Fear Island,Aaron Ashmore|Haylie Duff|Lucy Hale|Kyle Schmid|Anne Marie DeLuise,Michael Storey,,Horror|Thriller|Mystery,Pocketbook Productions|Waterfront Pictures,4.6
0.096111,0,Art & Copy,Lee Clow|Jim Durfee|Cliff Freeman|Jeff Goodby|George Lois,Doug Pray,inspiration,Documentary,,6.9
0.287231,10000000,The Damned United,Colm Meaney|Henry Goodman|Michael Sheen|Timothy Spall|Jim Broadbent,Tom Hooper,england|leeds united|sport|brighton|soccer,Drama,BBC Films|Columbia Pictures Corporation|Screen Yorkshire|Left Bank Pictures|Screen Yorkshire Production Fund,7.1
0.083178,0,Collapse,Michael Ruppert,Chris Smith,capitalism|economics|oil industry|prediction|financial crisis,Documentary,,7.7
0.083031,0,Doctor Who: The End of Time,David Tennant|John Simm|Bernard Cribbins|Timothy Dalton|Catherine Tate,Euros Lyn,,Science Fiction|TV Movie,,7.9
0.077477,6000000,Direct Contact,Dolph Lundgren|Gina Marie May|Michael ParÃ©|Bashar Rahal|James Chalke,Danny Lerner,,Action|Adventure|Thriller,,3.5
0.115707,0,The War Boys,Benjamin Walker|Peter Gallagher|Brian J. Smith|Victor Rasuk|Greg Serano,Ron Daniels,independent film,Drama,,5.6
0.073533,0,CinÃ©man,Anne Marivin|Franck Dubosc|Pierre-FranÃ§ois Martin-Laval|Pierre Richard|Michel Galabru,Yann Moix,french movies,Comedy|Fantasy,TF1 Films Production|Scope Pictures|SAJ,3.3
0.073493,0,Madea Goes to Jail,Tyler Perry|Derek Luke|Keshia Knight Pulliam|Ion Overman|SofÃ­a Vergara,Tyler Perry,criminal,Comedy|Crime|Drama,"Lions Gate Films|Tyler Perry Company, The",6.9
0.07183,0,35 Rhums,Mati Diop|Nicole Dogue|GrÃ©goire Colin|Alex Descas,Claire Denis,woman director,Drama|Foreign,Soudaine Compagnie,5.9
0.090351,0,Don McKay,Thomas Haden Church|Elisabeth Shue|Melissa Leo|M. Emmet Walsh|Keith David,Jake Goldberger,independent film,Crime|Mystery|Thriller,Animus Films,4.5
0.088781,0,The Wild and Wonderful Whites of West Virginia,Jesco White,Julien Nitzberg,dancing|west virginia|independent film,Documentary,Dickhouse Productions|MTV Studios,5.7
0.059697,0,Book of Blood,Jonas Armstrong|Sophie Ward|Clive Russell|Paul Blair|Doug Bradley,John Harrison,last judgment|afterlife|paranormal|barker,Horror|Drama|Mystery|Thriller,Scottish Screen|Matador Pictures|uFilm|Regent Capital|Entertainment Motion Pictures,5.3
0.058977,0,La Guerre des Miss,BenoÃ®t Poelvoorde|Olivia Bonamy|Jacques Mathou|Christian Charmetant|Laurent Gamelon,Patrice Leconte,beauty contest,Comedy,Gaumont,5.5
0.058472,0,Objectified,,Gary Hustwit,,Documentary,,7.2
0.08649,0,Hamlet,David Tennant|Patrick Stewart|Penny Downie|Oliver Ford Davies|Mariah Gale,Gregory Doran,shakespeare adaptation|based on play,Drama,NHK Enterprises|Illuminations|BBC Wales,6.4
0.050789,0,"Nightmares in Red, White and Blue",Lance Henriksen|Larry Cohen|Joe Dante|John Carpenter|Darren Lynn Bousman,Andrew Monument,film director|interview|independent film|filmmaker|filmmaking,Documentary|Horror,,6.0
0.047028,0,The Winning Season,Sam Rockwell|Emma Roberts|Shareeka Epps|Emily Rios|Rooney Mara,Jim Strouse,alcohol|restaurant|immigrant|bus ride|bicycle,Comedy|Drama,Gigi Productions|Sneaky Pete Productions,6.1
0.044425,0,Alien Trespass,Eric McCormack|Jenni Baird|Dan Lauria|Robert Patrick|Jody Thompson,R. W. Goodwin,alien abduction,Action|Adventure|Comedy|Science Fiction,Rangeland Productions,5.8
0.043209,0,Bring It On: Fight to the Finish,Christina Milian|Nikki SooHoo|Cody Longo|Rachele Brooke Smith|Laura CerÃ³n,Bille Woodruff,cheerleader|sport|high school|malibu|cheerleading,Comedy,Universal Studios Home Entertainment,5.4
0.056777,0,Doctor Who: The Waters of Mars,David Tennant,,,Science Fiction|Adventure|Family,BBC Wales,8.0
0.135759,0,Logorama,Bob Stephenson|Sherman Augustus|Aja Evans|Joel Michaely|Matt Winston,FranÃ§ois Alaux|HervÃ© de CrÃ©cy|Ludovic Houplain,zoo|delinquent|police|criminal,Animation,H5|Autour de Minuit Productions|Little Minx Films,7.2
0.020701,0,Jonas Brothers: The Concert Experience,Nick Jonas|Joe Jonas|Kevin Jonas|John Lloyd Taylor|John Cahill Lawless,Bruce Hendricks,duringcreditsstinger,,,7.0
0.029831,0,R.T.T.,Kad Merad|MÃ©lanie Doutey|Manu Payet|Francis Renaud|Pierre Laplace,FrÃ©dÃ©ric Berthe,,Comedy,LGM Productions|Studio Canal,4.7
0.027045,0,Alma,,Rodrigo Blaas,shop|store window|toy shop|child in peril|doll,Animation|Fantasy|Mystery,,7.2
0.026174,0,Waking Sleeping Beauty,Tim Burton|John Lasseter|Don Bluth|Howard Ashman|Jeffrey Katzenberg,Don Hahn,,Documentary|Family,,6.9
0.023254,0,Kurbaan,Saif Ali Khan|Kareena Kapoor|Vivek Oberoi|Dia Mirza|Om Puri,Renzil D'Silva,,Foreign|Romance|Thriller,,4.9
0.024051,0,The Yes Men Fix the World,Andy Bichlbaum|Mike Bonanno|Reggie Watts,Andy Bichlbaum|Mike Bonanno|Kurt Engfehr,,Documentary,Renegade Pictures,6.5
0.021121,0,Deadline,Brittany Murphy|Thora Birch|Tammy Blanchard|Marc Blucas|Claudia Troll,Sean McConville,mental breakdown|independent film|writer|bathtub,Drama|Horror|Thriller,Enso Entertainment|Films In Motion|KRU Studios,5.6
0.021041,0,Today's Special,Aasif Mandvi|Jess Weixler|Naseeruddin Shah|Aarti Mann|Dean Winters,David Kaplan,indian food|queens new york city|business card|muslim american,Comedy|Romance,Inimitable Pictures|Sweet180,6.3
0.015926,0,Un'estate ai Caraibi,Enrico Brignano|Carlo Buccirosso|Biagio Izzo,Carlo Vanzina,,Comedy,Medusa Film,4.2
0.169317,0,Table for Three,Jesse Bradford|Sophia Bush|Brandon Routh|Jennifer Morrison,Michael Samonek,roommate|romantic comedy|independent film|roommate relationship,Comedy|Romance,Starz Media,4.3
0.01531,0,Los Bandoleros,Vin Diesel|Michelle Rodriguez|Sung Kang|Don Omar|Tego CalderÃ³n,Vin Diesel,,Action|Drama,,5.9
0.013174,0,Long Weekend,Jim Caviezel|Claudia Karvan|Robert Taylor|John Brumpton|Roger Ward,Jamie Blanks,,Drama|Horror|Thriller|Foreign,,6.0
0.01217,0,Map of the Sounds of Tokyo,Rinko Kikuchi|Sergi LÃ³pez|Min Tanaka|Manabu Oshio|Takeo Nakahara,Isabel Coixet,woman director,Drama|Foreign|Romance|Thriller,,5.4
0.00246,0,Talhotblond,,Barbara Schroeder,fraud|woman director|online lying|connect to real life,Documentary,,6.0
0.257762,0,His Name Was Jason: 30 Years of Friday the 13th,Erich Anderson|Diane Almeida|Judie Aronson|Diana Barrows|Steven Barton,Daniel Farrands,mass murder|murder|director|horror movie|jason vorhees,Documentary|Horror,Paramount Pictures,6.9
0.005502,0,Cencoroll,Kana Hanazawa|RyÅhei Kimura|Satomi Moriya|Hiro Shimono,Atsuya Uki,japan|supernatural powers|alien,Animation|Science Fiction,Aniplex|Anime Innovation Tokyo,6.0
0.139545,0,De Dana Dan,Akshay Kumar|Katrina Kaif|Sunil Shetty|Paresh Rawal|Sameera Reddy,Priyadarshan,romantic comedy|bollywood,Action|Comedy|Foreign,Baba Arts Limited Productions,4.4
0.00459,0,Jean Charles,Selton Mello|Luis Miranda|Marek Oravec|Renu Setna|Bruno Bilotta,Henrique Goldman,,Documentary|Drama|Foreign,,6.6
0.019105,3500,ThanksKilling,Lance Predmore|Ryan E. Francis|Lindsey Andersen|Aaron Ringhiser-Carlson|Natasha Cordova,Jordan Downey,slasher|bestiality|raped by animal|evil puppet|turkey the bird,Comedy|Horror|Thriller,,4.1
0.003432,0,Jim Jefferies: I Swear to God,Jim Jefferies,John Moffitt,stand-up|stand up comedy,Comedy,HBO,7.0
0.005289,0,Une semaine sur deux,Mathilde Seigner|Bernard Campan|Bertille Chabert|Judith Davis,Ivan CalbÃ©rac,,Drama|Family,Mandarin Films,5.5
0.001423,0,Circle of Eight,Austin Highsmith|Jesse Johnson|Ryan Doom|Josh Kelly|Katie Lowes,Stephen Cragg,horror|mystery|t-horror,Mystery|Horror,Bronson Avenue|Paramount Pictures Digital Entertainment|Mountain Dew Green Label Studios|Milchan / Van Eyssen,4.3
9.363643,160000000,Inception,Leonardo DiCaprio|Joseph Gordon-Levitt|Ellen Page|Tom Hardy|Ken Watanabe,Christopher Nolan,loss of lover|dream|sleep|subconsciousness|heist,Action|Thriller|Science Fiction|Mystery|Adventure,Legendary Pictures|Warner Bros.|Syncopy,7.9
5.70486,200000000,Iron Man 2,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle|Scarlett Johansson|Mickey Rourke,Jon Favreau,malibu|marvel comic|comic|superhero|revenge,Adventure|Action|Science Fiction,Marvel Studios,6.6
5.57295,200000000,Alice in Wonderland,Mia Wasikowska|Johnny Depp|Anne Hathaway|Helena Bonham Carter|Crispin Glover,Tim Burton,based on novel|fictional place|queen|alice in wonderland|fantastic,Family|Fantasy|Adventure,"Walt Disney Pictures|Team Todd|Tim Burton Productions|Roth Films|Zanuck Company, The",6.3
5.29318,13000000,Black Swan,Natalie Portman|Mila Kunis|Vincent Cassel|Barbara Hershey|Winona Ryder,Darren Aronofsky,competition|taxi|dancer|obsession|paranoia,Drama|Mystery|Thriller,Fox Searchlight Pictures|Dune Entertainment|Protozoa Pictures|Cross Creek Pictures,7.1
4.840588,250000000,Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe|Emma Watson|Rupert Grint|Ralph Fiennes|Helena Bonham Carter,David Yates,corruption|isolation|radio|magic|teleportation,Adventure|Fantasy|Family,Warner Bros.|Heyday Films,7.4
3.791881,69000000,Despicable Me,Steve Carell|Jason Segel|Russell Brand|Julie Andrews|Will Arnett,Pierre Coffin|Chris Renaud,adoptive father|orphanage|life's dream|rival|stealing,Action|Animation|Family,Universal Pictures|Illumination Entertainment,7.1
3.74884,80000000,The Expendables,Sylvester Stallone|Jason Statham|Dolph Lundgren|Eric Roberts|Randy Couture,Sylvester Stallone,tattoo|martial arts|sniper|island|mercenary,Action|Thriller,Millennium Films,5.9
3.560424,165000000,How to Train Your Dragon,Jay Baruchel|Gerard Butler|Craig Ferguson|America Ferrera|Jonah Hill,Dean DeBlois|Chris Sanders,flying|blacksmith|arena|island|night,Fantasy|Adventure|Animation|Family,DreamWorks Animation|Vertigo Entertainment|Mad Hatter Entertainment,7.4
3.176169,80000000,Shutter Island,Leonardo DiCaprio|Mark Ruffalo|Ben Kingsley|Emily Mortimer|Michelle Williams,Martin Scorsese,based on novel|island|hurricane|investigation|psychiatric hospital,Drama|Thriller|Mystery,Paramount Pictures|Appian Way|Phoenix Pictures|Sikelia Productions,7.6
2.911727,170000000,TRON: Legacy,Garrett Hedlund|Jeff Bridges|Olivia Wilde|Bruce Boxleitner|Yaya DaCosta,Joseph Kosinski,artificial intelligence|dystopia|thriller|alternative|imax,Adventure|Action|Science Fiction,Walt Disney Pictures|LivePlanet|Prana Studios|Sean Bailey Productions|Revolution Sun Studios,6.3
2.865684,260000000,Tangled,Zachary Levi|Mandy Moore|Donna Murphy|Ron Perlman|M.C. Gainey,Nathan Greno|Byron Howard,hostage|horse|fairy tale|musical|princess,Animation|Family,Walt Disney Pictures|Walt Disney Animation Studios,7.3
2.711136,200000000,Toy Story 3,Tom Hanks|Tim Allen|Ned Beatty|Joan Cusack|Michael Keaton,Lee Unkrich,hostage|college|toy|barbie|animation,Animation|Family|Comedy,Walt Disney Pictures|Pixar Animation Studios,7.5
2.586787,110000000,Salt,Angelina Jolie|Liev Schreiber|Corey Stoll|Chiwetel Ejiofor|Daniel Olbrychski,Phillip Noyce,bomb|usa|assassination|taxi|spy,Action|Thriller|Crime|Mystery,Columbia Pictures|Di Bonaventura Pictures|Relativity Media|Wintergreen Productions,6.2
2.440611,18000000,127 Hours,James Franco|Kate Mara|Amber Tamblyn|ClÃ©mence PoÃ©sy|Lizzy Caplan,Danny Boyle,mountains|despair|adventure|utah|alone,Adventure|Drama|Thriller,Fox Searchlight Pictures|Dune Entertainment|Darlow Smithson Productions|Warner Bros.|Cloud Eight Films,6.9
2.332359,8000000,Easy A,Emma Stone|Stanley Tucci|Amanda Bynes|Cam Gigandet|Lisa Kudrow,Will Gluck,lie|high school|school|teen movie|rumor,Comedy,Screen Gems|Olive Bridge Entertainment,6.6
2.245241,155000000,The Chronicles of Narnia: The Voyage of the Dawn Treader,Skandar Keynes|Georgie Henley|Simon Pegg|Gary Sweet|Arthur Angel,Michael Apted,based on novel|magic|good vs evil|king|narnia,Adventure|Family|Fantasy,Dune Entertainment|Fox 2000 Pictures|Walden Media,6.0
2.225609,28000000,Kick-Ass,Aaron Taylor-Johnson|ChloÃ« Grace Moretz|Christopher Mintz-Plasse|Nicolas Cage|Mark Strong,Matthew Vaughn,flying|confession|crime fighter|secret identity|superhero,Action|Crime,Lions Gate,7.0
2.162441,100000000,The Tourist,Johnny Depp|Angelina Jolie|Paul Bettany|Timothy Dalton|Steven Berkoff,Florian Henckel von Donnersmarck,paris|hotel|false identity|undercover agent|romance,Action|Thriller|Romance,Spyglass Entertainment|Peninsula Films|StudioCanal|GK Films|Italian Tax Credit,6.0
2.128799,150000000,Prince of Persia: The Sands of Time,Jake Gyllenhaal|Gemma Arterton|Ben Kingsley|Alfred Molina|Steve Toussaint,Mike Newell,persia|sandstorm|brother against brother|armageddon|regent,Adventure|Fantasy|Action|Romance,Walt Disney Pictures|Jerry Bruckheimer Films,6.1
2.11831,200000000,Robin Hood,Russell Crowe|Cate Blanchett|Mark Strong|Oscar Isaac|LÃ©a Seydoux,Ridley Scott,robin hood|archer|knight|sherwood forest|bow and arrow,Action,Imagine Entertainment|Universal Pictures|Scott Free Productions|Relativity Media,6.1
2.100704,38000000,True Grit,Jeff Bridges|Hailee Steinfeld|Matt Damon|Josh Brolin|Barry Pepper,Ethan Coen|Joel Coen,loss of father|father murder|texas ranger|alcoholism|betrayal,Drama|Adventure|Western,Paramount Pictures|Scott Rudin Productions|Mike Zoss Productions|Skydance Productions,7.0
2.087252,125000000,Clash of the Titans,Sam Worthington|Liam Neeson|Ralph Fiennes|Gemma Arterton|Jason Flemyng,Louis Leterrier,hades|mythology|greek mythology|zeus|medusa,Adventure|Fantasy|Action,The Zanuck Company|Legendary Pictures|Thunder Road Pictures|Warner Bros.|Moving Picture Company (MPC),5.6
